Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
601238,"The Colour of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0552124753""","=""9780552124751""",4,4.00,Corgi,Mass Market Paperback,287,1985,1983,,2020/10/17,2020-reads,2020-reads (#48),read,,,,1,0
18404300,"A Colder War (Thomas Kell, #2)",Charles Cumming,"Cumming, Charles",,"=""1250020611""","=""9781250020611""",4,3.98,St. Martin's Press,Hardcover,386,2014,2014,,2020/10/10,2020-reads,2020-reads (#47),read,,,,1,0
13167077,"A Foreign Country (Thomas Kell, #1)",Charles Cumming,"Cumming, Charles",,"=""0312591330""","=""9780312591335""",4,3.84,St. Martin's Press,Hardcover,357,2012,2012,,2020/10/04,2020-reads,2020-reads (#46),read,,,,1,0
46263943,Real Life,Brandon  Taylor,"Taylor, Brandon",,"=""0525538887""","=""9780525538882""",4,3.83,Riverhead Books,Hardcover,329,2020,2020,,2020/10/03,2020-reads,2020-reads (#45),read,,,,1,0
12880,Black Lamb and Grey Falcon,Rebecca West,"West, Rebecca",Christopher Hitchens,"=""014310490X""","=""9780143104902""",5,4.21,Penguin Classics,Paperback,1181,2007,1941,,2020/10/02,2020-reads,2020-reads (#44),read,,,,1,0
82405,Jesus of Nazareth: From the Baptism in the Jordan to the Transfiguration,Pope Benedict XVI,"XVI, Pope Benedict",Adrian J.  Walker,"=""0385523416""","=""9780385523417""",4,4.40,Image,Hardcover,400,2007,2007,,2020/09/12,2020-reads,2020-reads (#42),read,,,,1,0
44441888,"The New Testament in Its World: An Introduction to the History, Literature, and Theology of the First Christians",N.T. Wright,"Wright, N.T.",Michael F. Bird,"=""""","=""""",5,4.48,Zondervan Academic,Hardcover,992,2019,2019,,2020/08/29,2020-reads,2020-reads (#41),read,,,,1,0
157464,The Mystery of Christ . . . and Why We Don't Get It,Robert Farrar Capon,"Capon, Robert Farrar",,"=""0802801218""","=""9780802801210""",5,4.25,Eerdmans,Paperback,202,1993,1993,,2020/08/24,2020-reads,2020-reads (#40),read,,,,1,0
6811221,The Lock Artist,Steve Hamilton,"Hamilton, Steve",,"=""0312380429""","=""9780312380427""",4,3.96,Minotaur Books,Hardcover,304,2010,2009,,2020/08/22,2020-reads,2020-reads (#39),read,,,,1,0
1146377,"A Generous Orthodoxy: Why I Am a Missional, Evangelical, Post/Protestant, Liberal/Conservative, Mystical/Poetic, Biblical, Charismatic/Contemplative, Fundamentalist/Calvinist, Anabaptist/Anglican, Metho",Brian D. McLaren,"McLaren, Brian D.",Ivy Beckwith,"=""0310257476""","=""9780310257479""",4,3.69,Zondervan,Hardcover,297,2004,2004,,2020/08/21,2020-reads,2020-reads (#38),read,,,,1,0
124130,Leaving Church: A Memoir of Faith,Barbara Brown Taylor,"Taylor, Barbara Brown",,"=""0060771747""","=""9780060771744""",4,4.12,HarperOne,Hardcover,256,2006,2006,,2020/08/08,2020-reads,2020-reads (#37),read,,,,1,0
121855,"Engaging the Powers: Discernment and Resistance in a World of Domination (Powers, #3)",Walter Wink,"Wink, Walter",,"=""080062646X""","=""9780800626464""",5,4.46,Fortress Press,Paperback,444,1992,1992,,2020/08/07,2020-reads,2020-reads (#36),read,,,,1,0
666830,"Between Noon & Three: Romance, Law & the Outrage of Grace",Robert Farrar Capon,"Capon, Robert Farrar",,"=""0802842224""","=""9780802842220""",5,4.33,Eerdmans,Paperback,240,1997,1982,2010/12/31,2010/12/28,"2010-reads, 2020-reads","2010-reads (#68), 2020-reads (#35)",read,"A fantastic challenging read that will transform the way I think about Grace. Capon mixes storytelling with theologising quite effectively, driving his points home with insight and humor.<br/><br/>I'm not sure I'm on board with his conclusions on eschatology in the last bit of the book, but the first two-thirds are quite enough to warrant five stars for this fantastic volume.",,,2,0
33819733,"The Crucifixion of the Warrior God: Interpreting the Old Testament's Violent Portraits of God in Light of the Cross, Volume 1 & 2",Gregory A. Boyd,"Boyd, Gregory A.",,"=""1506420753""","=""9781506420752""",3,4.22,Fortress Press,Paperback,1492,2017,2017,2020/07/26,2020/07/24,2020-reads,2020-reads (#34),read,,,,1,0
638711,The Monks of Mount Athos: A Western Monks Extraordinary Spiritual Journey on Eastern Holy Ground,M. Basil Pennington,"Pennington, M. Basil",,"=""1893361780""","=""9781893361782""",4,4.33,Skylight Paths Publishing,Paperback,352,2003,2003,,2020/07/25,2020-reads,2020-reads (#33),read,,,,1,0
51862863,"A Declaration of the Rights of Magicians (The Shadow Histories, #1)",H.G. Parry,"Parry, H.G.",,"=""0316459089""","=""9780316459082""",0,3.74,Redhook,Hardcover,531,2020,2020,,2020/07/19,to-read,to-read (#29),to-read,,,,0,0
1048822,Into the Silent Land: The Practice of Contemplation,Martin Laird,"Laird, Martin",,"=""0232526400""","=""9780232526400""",5,4.05,"Darton, Longman & Todd",Paperback,154,2006,2006,,2020/07/15,2020-reads,2020-reads (#32),read,,,,1,0
42036538,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,"=""1250313198""","=""9781250313195""",4,4.23,Tor,Hardcover,448,2019,2019,,2020/07/12,2020-reads,2020-reads (#31),read,,,,1,0
33641244,The Power,Naomi Alderman,"Alderman, Naomi",,"=""0316547611""","=""9780316547611""",4,3.78,"Little, Brown and Company",Hardcover,387,2017,2016,,2020/07/09,2020-reads,2020-reads (#30),read,,,,1,0
